>> Recipe detail
================================================================================
Recipe	Machine/count	Somersloop	Power	Ingredients	Products
================================================================================
燃油发电机 (火箭燃料)	燃油发电机 x 1118.706	0	699191MW	火箭燃料 [-11653.183/min]	
核电站 (铀燃料棒)	核电站 x 100.8	0	630000MW	水 [-60480/min]; 铀燃料棒 [-50.4/min]	铀废料 [2520/min]
AI限制器	装配站 x 106.652	0	-5371.7MW	铜板 [-6665.758/min]; 急速电线 [-26663.033/min]	AI限制器 [1333.152/min]
替代：复合铝外壳	装配站 x 11.707	0	-589.6MW	铝锭 [-4389.942/min]; 铜锭 [-2194.971/min]	铝制外壳 [3292.457/min]
替代：硅基电路板	装配站 x 226.402	0	-11403MW	铜板 [-15565.143/min]; 二氧化硅 [-15565.143/min]	电路板 [7075.065/min]
替代：传统电池	制造站 x 31.921	0	-5895MW	塑料 [-4788.136/min]; 电线 [-7182.204/min]; 复合铝板 [-4189.619/min]; 硫磺 [-3591.102/min]	电池 [2394.068/min]
替代：镀层铁桶	装配站 x 20.578	0	-1036.4MW	铜板 [-771.67/min]; 铁板 [-1543.339/min]	空桶 [3086.678/min]
替代：镀层铁板	装配站 x 42.625	0	-2146.9MW	塑料 [-799.22/min]; 铁锭 [-3996.098/min]	铁板 [7992.195/min]
替代：钦金计算机	制造站 x 140.758	0	-25994.6MW	急速电线 [-18474.443/min]; 橡胶 [-7917.618/min]; 电路板 [-5278.412/min]	计算机 [1319.603/min]
替代：晶体计算机	装配站 x 24.229	0	-1220.3MW	电路板 [-302.866/min]; 晶体振荡器 [-100.955/min]	计算机 [201.911/min]
替代：冷却装置	混料站 x 12.347	0	-3109.3MW	散热器 [-308.668/min]; 马达 [-77.167/min]; 氮气 [-1852.007/min]	冷却系统 [154.334/min]
替代：铜制转子	装配站 x 35.544	0	-1790.2MW	铜板 [-1999.377/min]; 螺丝 [-17327.93/min]	转子 [999.688/min]
替代：绝缘晶体振荡器	制造站 x 95.395	0	-17617.1MW	AI限制器 [-447.162/min]; 橡胶 [-3130.133/min]; 石英晶体 [-4471.619/min]	晶体振荡器 [447.162/min]
替代：暗物质捕获器	粒子加速站 x 24.865	0	-83490.2MW	暗物质残渣 [-9324.34/min]; 时间水晶 [-1864.868/min]	暗物质晶体 [3729.736/min]
替代：涡轮钻石	粒子加速站 x 30.867	0	-51821.5MW	煤 [-46300.171/min]; 桶装涡轮燃油 [-3086.678/min]	钻石 [4630.017/min]
替代：稀释燃油	混料站 x 98.741	0	-24866MW	水 [-24685.216/min]; 重油残渣 [-12342.608/min]	燃料 [24685.216/min]
替代：电磁马达	装配站 x 24.236	0	-1220.7MW	转子 [-454.428/min]; 电磁控制杆 [-227.214/min]	马达 [454.428/min]
替代：电解制铝	精炼站 x 49.583	0	-4994.6MW	石油焦 [-7437.402/min]; 氧化铝溶液 [-22312.206/min]	水 [13015.454/min]; 碎铝渣 [37187.01/min]
替代：钢管混凝土梁	装配站 x 125.308	0	-6311.3MW	钢管 [-7518.486/min]; 混凝土 [-6265.405/min]	钢筋混凝土梁 [1253.081/min]
替代：熔合电线	装配站 x 22.24	0	-1120.1MW	铜锭 [-667.196/min]; 钦金锭 [-166.799/min]	电线 [5003.97/min]
替代：热熔框架	混料站 x 10.289	0	-2591.1MW	燃料 [-771.67/min]; 铝锭 [-3858.348/min]; 硝酸 [-617.336/min]; 重型模块化框架 [-77.167/min]	焊接模块化框架 [77.167/min]
替代：重油残渣	精炼站 x 168	0	-16923.1MW	原油 [-12600/min]	重油残渣 [16800/min]; 聚合树脂 [8400/min]
替代：坚固钢锭	铸造站 x 26.045	0	-1399.2MW	煤 [-2604.466/min]; 铁锭 [-2604.466/min]	钢锭 [3906.699/min]
替代：重型封闭式框架	制造站 x 53.465	0	-9873.7MW	钢管 [-4511.092/min]; 模块化框架 [-1002.465/min]; 混凝土 [-2756.778/min]; 钢筋混凝土梁 [-1253.081/min]	重型模块化框架 [375.924/min]
替代：钢制框架	装配站 x 148.667	0	-7487.8MW	强化铁板 [-743.333/min]; 钢管 [-3716.666/min]	模块化框架 [1115/min]
替代：铀燃料单元	制造站 x 33.6	0	-6205.1MW	晶体振荡器 [-50.4/min]; 转子 [-168/min]; 电磁控制杆 [-168/min]; 封装铀棒 [-1680/min]	铀燃料棒 [50.4/min]
替代：再生塑料	精炼站 x 88.674	0	-8932.3MW	燃料 [-6650.545/min]; 橡胶 [-6650.545/min]	塑料 [13301.091/min]
替代：高纯度钦金锭	精炼站 x 148.442	0	-14952.9MW	水 [-8906.511/min]; 钦金矿石 [-8906.511/min]	钦金锭 [4453.255/min]
替代：高纯度铜锭	精炼站 x 897.78	0	-90435.7MW	水 [-22444.512/min]; 铜矿石 [-33666.767/min]	铜锭 [84166.918/min]
替代：高纯度铁锭	精炼站 x 968.866	0	-97596.3MW	水 [-48443.292/min]; 铁矿石 [-84775.76/min]	铁锭 [157440.697/min]
替代：纯石英晶体	精炼站 x 34.069	0	-3431.9MW	水 [-3194.014/min]; 粗石英 [-5749.225/min]	石英晶体 [4471.619/min]
替代：熔合急速电线	装配站 x 228.611	0	-11514.3MW	铜锭 [-21432.282/min]; 钦金锭 [-4286.456/min]	急速电线 [51437.476/min]
替代：再生橡胶	精炼站 x 102.85	0	-10360.3MW	燃料 [-7713.736/min]; 塑料 [-7713.736/min]	橡胶 [15427.471/min]
替代：拼接铁板	装配站 x 71.151	0	-3583.6MW	铁板 [-3335.188/min]; 电线 [-6670.376/min]	强化铁板 [1000.556/min]
替代：硝基火箭燃料	混料站 x 24.383	0	-6140.3MW	煤 [-3047.82/min]; 燃料 [-6095.639/min]; 硫磺 [-6095.639/min]; 氮气 [-4571.73/min]	压缩煤 [1523.91/min]; 火箭燃料 [9143.459/min]
替代：钢制螺丝	构筑站 x 26.658	0	-358MW	钢梁 [-333.229/min]	螺丝 [17327.93/min]
替代：粗制二氧化硅	装配站 x 137.792	0	-6940MW	石灰石 [-12917.959/min]; 粗石英 [-7750.775/min]	二氧化硅 [18085.143/min]
替代：氧化铝匀浆	精炼站 x 37.187	0	-3745.9MW	水 [-18593.505/min]; 铝土矿 [-18593.505/min]	氧化铝溶液 [22312.206/min]
替代：热压铜板	精炼站 x 467.661	0	-47108.7MW	水 [-26305.95/min]; 铜锭 [-26305.95/min]	铜板 [26305.95/min]
替代：铝制梁	构筑站 x 7.919	0	-106.4MW	铝锭 [-445.439/min]	钢梁 [445.439/min]
替代：浇铸梁	铸造站 x 13.022	0	-699.6MW	钢锭 [-3906.699/min]; 混凝土 [-2604.466/min]	钢梁 [1465.012/min]
替代：铁制管道	构筑站 x 387.433	0	-5203.6MW	铁锭 [-96858.233/min]	钢管 [24214.558/min]
替代：超状态计算机	制造站 x 39.901	0	-7368.8MW	电线 [-5985.17/min]; 电池 [-2394.068/min]; 计算机 [-718.22/min]; 电磁控制杆 [-239.407/min]	超级计算机 [239.407/min]
替代：混合涡轮燃油	混料站 x 21.101	0	-5314MW	石油焦 [-1186.955/min]; 燃料 [-791.303/min]; 硫磺 [-1186.955/min]; 重油残渣 [-1582.606/min]	涡轮燃油 [2373.909/min]
替代：涡轮电磁马达	制造站 x 7.317	0	-1351.2MW	马达 [-120.037/min]; 转子 [-120.037/min]; 电磁控制杆 [-85.741/min]; 无线电控制单元 [-154.334/min]	涡轮马达 [51.445/min]
涡轮燃油	精炼站 x 47.33	0	-4767.7MW	压缩煤 [-1774.882/min]; 燃料 [-2662.323/min]	涡轮燃油 [2218.603/min]
替代：混合型铀棒	制造站 x 33.6	0	-6205.1MW	急速电线 [-6300/min]; 二氧化硅 [-1260/min]; 硫磺 [-2100/min]; 铀 [-2100/min]	封装铀棒 [1680/min]
替代：塑性混凝土	精炼站 x 91.416	0	-9208.5MW	水 [-22853.891/min]; 石灰石 [-27424.669/min]	混凝土 [18283.113/min]
替代：铁制电线	构筑站 x 1727.421	0	-23201MW	铁锭 [-53981.901/min]	电线 [97167.421/min]
复合铝板	装配站 x 107.99	0	-5439MW	铝锭 [-8099.214/min]; 铜锭 [-2699.738/min]	复合铝板 [8099.214/min]
铝土矿（钦金）	转化站 x 13.793	0	-11578.7MW	钦金矿石 [-5172.521/min]; 活性SAM物质 [-344.835/min]	铝土矿 [4138.017/min]
铝土矿（铜）	转化站 x 7.185	0	-6031.3MW	铜矿石 [-3233.233/min]; 活性SAM物质 [-179.624/min]	铝土矿 [2155.488/min]
电缆	构筑站 x 398.343	0	-5350.1MW	电线 [-59751.47/min]	电缆 [29875.735/min]
煤（石灰石）	转化站 x 32.175	0	-27008.8MW	石灰石 [-28957.372/min]; 活性SAM物质 [-804.371/min]	煤 [9652.457/min]
铜粉	构筑站 x 41.156	0	-552.8MW	铜锭 [-30866.781/min]	铜粉 [5144.463/min]
电磁控制杆	装配站 x 88.599	0	-4462.4MW	AI限制器 [-885.99/min]; 定子 [-1328.985/min]	电磁控制杆 [885.99/min]
F金锭（铝）	转化站 x 6.002	0	-5038.2MW	铝锭 [-1800.562/min]; 活性SAM物质 [-900.281/min]	F金锭 [450.141/min]
F金三角	构筑站 x 18.006	0	-241.8MW	F金锭 [-450.141/min]	F金三角 [1350.422/min]
散热器	装配站 x 23.182	0	-1167.6MW	铜板 [-1304.003/min]; 复合铝板 [-2173.339/min]	散热器 [434.668/min]
活性SAM物质	构筑站 x 34	0	-456.7MW	SAM物质 [-10200/min]	活性SAM物质 [2550/min]
硝酸	混料站 x 21.657	0	-5454MW	水 [-1624.308/min]; 铁板 [-541.436/min]; 氮气 [-6497.232/min]	硝酸 [1624.308/min]
氮气（钦金）	转化站 x 3.07	0	-2577MW	钦金矿石 [-920.968/min]; 活性SAM物质 [-76.747/min]	氮气 [920.968/min]
非裂变贫铀	混料站 x 20.16	0	-5076.9MW	铀废料 [-1890/min]; 硫酸 [-756/min]; 二氧化硅 [-1260/min]; 硝酸 [-756/min]	水 [756/min]; 非裂变贫铀 [2520/min]
桶装涡轮燃油	灌装站 x 61.734	0	-2072.9MW	涡轮燃油 [-3086.678/min]; 空桶 [-3086.678/min]	桶装涡轮燃油 [3086.678/min]
石油焦	精炼站 x 28.748	0	-2895.8MW	重油残渣 [-2874.786/min]	石油焦 [8624.357/min]
封装钚棒	装配站 x 30.24	0	-1523.1MW	混凝土 [-1512/min]; 钚丸 [-756/min]	封装钚棒 [378/min]
钚燃料棒	制造站 x 20.16	0	-3723.1MW	散热器 [-126/min]; 电磁控制杆 [-75.6/min]; 钢梁 [-226.8/min]; 封装钚棒 [-378/min]	钚燃料棒 [12.6/min]
钚丸	粒子加速站 x 10.08	0	-16923.1MW	铀废料 [-630/min]; 非裂变贫铀 [-2520/min]	钚丸 [756/min]
封压方块	装配站 x 10.289	0	-518.2MW	焊接模块化框架 [-25.722/min]; 无线电控制单元 [-51.445/min]	封压方块 [25.722/min]
替代：高纯度铝锭	冶炼站 x 247.913	0	-3329.7MW	碎铝渣 [-37187.01/min]	铝锭 [18593.505/min]
激发态光子物质	转化站 x 18.649	0	-15654.4MW		激发态光子物质 [9324.34/min]
无线电控制单元	制造站 x 32.925	0	-6080.4MW	铝制外壳 [-3292.457/min]; 计算机 [-205.779/min]; 晶体振荡器 [-102.889/min]	无线电控制单元 [205.779/min]
聚合橡胶	精炼站 x 84	0	-8461.5MW	水 [-8400/min]; 聚合树脂 [-8400/min]	橡胶 [4200/min]
火箭燃料	混料站 x 10.039	0	-2528.1MW	涡轮燃油 [-1505.834/min]; 硝酸 [-250.972/min]	压缩煤 [250.972/min]; 火箭燃料 [2509.723/min]
奇点电池	制造站 x 10.289	0	-1900.1MW	铁板 [-2572.232/min]; 混凝土 [-5144.463/min]; 暗物质晶体 [-514.446/min]; 核意面 [-25.722/min]	奇点电池 [257.223/min]
弹道跃迁引擎	制造站 x 20.578	0	-3800.2MW	叠加态振荡器 [-102.889/min]; 暗物质晶体 [-2057.785/min]; 奇点电池 [-257.223/min]; 热能推进火箭 [-51.445/min]	弹道跃迁引擎 [51.445/min]
AI拓展伺服器	量子编码站 x 9.003	0	-30229.2MW	激发态光子物质 [-2250.703/min]; 叠加态振荡器 [-90.028/min]; 磁场发生器 [-90.028/min]; 神经量子处理器 [-90.028/min]	暗物质残渣 [2250.703/min]; AI拓展伺服器 [90.028/min]
智能嵌板	装配站 x 51.445	0	-2591.1MW	强化铁板 [-257.223/min]; 转子 [-257.223/min]	智能嵌板 [257.223/min]
多功能框架	装配站 x 18.006	0	-906.9MW	模块化框架 [-112.535/min]; 钢梁 [-1350.422/min]	多功能框架 [225.07/min]
自动化线缆	装配站 x 239.006	0	-12037.8MW	电缆 [-29875.735/min]; 定子 [-1493.787/min]	自动化线缆 [1493.787/min]
模块化引擎	制造站 x 51.445	0	-9500.6MW	橡胶 [-1929.174/min]; 马达 [-257.223/min]; 智能嵌板 [-257.223/min]	模块化引擎 [128.612/min]
自适应控制单元	制造站 x 119.503	0	-22069.4MW	电路板 [-1493.787/min]; 计算机 [-597.515/min]; 重型模块化框架 [-298.757/min]; 自动化线缆 [-1493.787/min]	自适应控制单元 [298.757/min]
磁场发生器	装配站 x 36.011	0	-1813.8MW	电磁控制杆 [-90.028/min]; 多功能框架 [-225.07/min]	磁场发生器 [90.028/min]
组装编导系统	装配站 x 79.669	0	-4012.6MW	超级计算机 [-149.379/min]; 自适应控制单元 [-298.757/min]	组装编导系统 [149.379/min]
热能推进火箭	制造站 x 20.578	0	-3800.2MW	冷却系统 [-154.334/min]; 焊接模块化框架 [-51.445/min]; 涡轮马达 [-51.445/min]; 模块化引擎 [-128.612/min]	热能推进火箭 [51.445/min]
核意面	粒子加速站 x 20.578	0	-69095.3MW	封压方块 [-25.722/min]; 铜粉 [-5144.463/min]	核意面 [25.722/min]
定子	装配站 x 225.822	0	-11373.8MW	钢管 [-8468.314/min]; 电线 [-22582.171/min]	定子 [2822.771/min]
硫磺（铁）	转化站 x 9.766	0	-8197.7MW	铁矿石 [-7324.24/min]; 活性SAM物质 [-244.141/min]	硫磺 [2929.696/min]
硫酸	精炼站 x 6.048	0	-609.2MW	水 [-756/min]; 硫磺 [-756/min]	硫酸 [756/min]
叠加态振荡器	量子编码站 x 15.433	0	-51821.5MW	激发态光子物质 [-4822.935/min]; 复合铝板 [-1736.256/min]; 晶体振荡器 [-192.917/min]; 暗物质晶体 [-1157.504/min]	叠加态振荡器 [192.917/min]; 暗物质残渣 [4822.935/min]
神经量子处理器	量子编码站 x 12.004	0	-40305.6MW	激发态光子物质 [-2250.703/min]; 时间水晶 [-450.141/min]; 超级计算机 [-90.028/min]; F金三角 [-1350.422/min]	暗物质残渣 [2250.703/min]; 神经量子处理器 [90.028/min]
时间水晶	转化站 x 154.334	0	-129553.7MW	钻石 [-4630.017/min]	时间水晶 [2315.009/min]
抽水站 (水)	抽水站 x 776.386	0	-52138.2MW		水 [232915.745/min]
地热发电机 (Impure)	地热发电机 x 9	0	900MW		
地热发电机 (Normal)	地热发电机 x 13	0	2600MW		
地热发电机 (Pure)	地热发电机 x 9	0	3600MW		
3级采矿机 (煤, Impure)	3级采矿机 x 15	0	-2266.5MW		煤 [4500/min]
3级采矿机 (煤, Normal)	3级采矿机 x 31	0	-4684.1MW		煤 [18600/min]
3级采矿机 (煤, Pure)	3级采矿机 x 16	0	-2417.6MW		煤 [19200/min]
3级采矿机 (铝土矿, Impure)	3级采矿机 x 5	0	-755.5MW		铝土矿 [1500/min]
3级采矿机 (铝土矿, Normal)	3级采矿机 x 6	0	-906.6MW		铝土矿 [3600/min]
3级采矿机 (铝土矿, Pure)	3级采矿机 x 6	0	-906.6MW		铝土矿 [7200/min]
3级采矿机 (铜矿石, Impure)	3级采矿机 x 13	0	-1964.3MW		铜矿石 [3900/min]
3级采矿机 (铜矿石, Normal)	3级采矿机 x 29	0	-4381.9MW		铜矿石 [17400/min]
3级采矿机 (铜矿石, Pure)	3级采矿机 x 13	0	-1964.3MW		铜矿石 [15600/min]
3级采矿机 (钦金矿石, Normal)	3级采矿机 x 9	0	-1359.9MW		钦金矿石 [5400/min]
3级采矿机 (钦金矿石, Pure)	3级采矿机 x 8	0	-1208.8MW		钦金矿石 [9600/min]
3级采矿机 (铁矿石, Impure)	3级采矿机 x 39	0	-5892.9MW		铁矿石 [11700/min]
3级采矿机 (铁矿石, Normal)	3级采矿机 x 42	0	-6346.1MW		铁矿石 [25200/min]
3级采矿机 (铁矿石, Pure)	3级采矿机 x 46	0	-6950.5MW		铁矿石 [55200/min]
3级采矿机 (铀, Impure)	3级采矿机 x 3	0	-453.3MW		铀 [900/min]
3级采矿机 (铀, Normal)	3级采矿机 x 2	0	-302.2MW		铀 [1200/min]
3级采矿机 (粗石英, Impure)	3级采矿机 x 3	0	-453.3MW		粗石英 [900/min]
3级采矿机 (粗石英, Normal)	3级采矿机 x 7	0	-1057.7MW		粗石英 [4200/min]
3级采矿机 (粗石英, Pure)	3级采矿机 x 7	0	-1057.7MW		粗石英 [8400/min]
3级采矿机 (SAM物质, Impure)	3级采矿机 x 10	0	-1511MW		SAM物质 [3000/min]
3级采矿机 (SAM物质, Normal)	3级采矿机 x 6	0	-906.6MW		SAM物质 [3600/min]
3级采矿机 (SAM物质, Pure)	3级采矿机 x 3	0	-453.3MW		SAM物质 [3600/min]
3级采矿机 (石灰石, Impure)	3级采矿机 x 15	0	-2266.5MW		石灰石 [4500/min]
3级采矿机 (石灰石, Normal)	3级采矿机 x 50	0	-7554.9MW		石灰石 [30000/min]
3级采矿机 (石灰石, Pure)	3级采矿机 x 29	0	-4381.9MW		石灰石 [34800/min]
3级采矿机 (硫磺, Impure)	3级采矿机 x 6	0	-906.6MW		硫磺 [1800/min]
3级采矿机 (硫磺, Normal)	3级采矿机 x 5	0	-755.5MW		硫磺 [3000/min]
3级采矿机 (硫磺, Pure)	3级采矿机 x 5	0	-755.5MW		硫磺 [6000/min]
油井 (原油, Impure)	油井 x 10	0	-1343.1MW		原油 [1500/min]
油井 (原油, Normal)	油井 x 12	0	-1611.7MW		原油 [3600/min]
油井 (原油, Pure)	油井 x 8	0	-1074.5MW		原油 [4800/min]
资源井增压站 (原油, Islands)	资源井增压站 x 1	0	-503.7MW		原油 [900/min]
资源井增压站 (原油, RedBambooFields)	资源井增压站 x 1	0	-503.7MW		原油 [1350/min]
资源井增压站 (原油, Swamp)	资源井增压站 x 1	0	-503.7MW		原油 [450/min]
资源井增压站 (氮气, AbyssCliff)	资源井增压站 x 1	0	-503.7MW		氮气 [1650/min]
资源井增压站 (氮气, BlueCrater)	资源井增压站 x 1	0	-503.7MW		氮气 [1500/min]
资源井增压站 (氮气, DuneDesert)	资源井增压站 x 1	0	-503.7MW		氮气 [1800/min]
资源井增压站 (氮气, JungleSpires)	资源井增压站 x 1	0	-503.7MW		氮气 [2100/min]
资源井增压站 (氮气, RockyDesert)	资源井增压站 x 1	0	-503.7MW		氮气 [1950/min]
资源井增压站 (氮气, TitanForest)	资源井增压站 x 1	0	-503.7MW		氮气 [3000/min]
--------------------------------------------------------------------------------
Somersloops in amplification	0
Somersloops in APA	0
APA power boost	+0%
Total net power	0MW
Total raw power	1336291MW
================================================================================

>> Net products
================================================================================
Item	Net production	Sinkpoints
--------------------------------------------------------------------------------
钚燃料棒	12.6/min.	1930118 pts/min.
组装编导系统	149.379/min.	74715628 pts/min.
弹道跃迁引擎	51.445/min.	148949400 pts/min.
AI拓展伺服器	90.028/min.	53805480 pts/min.
--------------------------------------------------------------------------------
Total sinkpoints		279400627.855
================================================================================

>> Resource summary
================================================================================
Item	Consumption	Utilized
--------------------------------------------------------------------------------
铁矿石	92100/min.	100%
钦金矿石	15000/min.	100%
铜矿石	36900/min.	100%
石灰石	69300/min.	100%
煤	42300/min.	100%
粗石英	13500/min.	100%
硫磺	10800/min.	100%
铀	2100/min.	100%
铝土矿	12300/min.	100%
SAM物质	10200/min.	100%
原油	12600/min.	100%
氮气	12000/min.	100%
水	232915.745/min.	N/A
================================================================================
