>> Recipe detail
================================================================================
Recipe	Machine/count	Somersloop	Power	Ingredients	Products
================================================================================
燃油发电机 (火箭燃料)	燃油发电机 x 743.499	0	464686.7MW	火箭燃料 [-7744.778/min]	
核电站 (铀燃料棒)	核电站 x 100.8	0	630000MW	水 [-60480/min]; 铀燃料棒 [-50.4/min]	铀废料 [2520/min]
AI限制器	装配站 x 260.088	0	-3901.3MW	铜板 [-6502.2/min]; 急速电线 [-26008.798/min]	AI限制器 [1300.44/min]
替代：复合铝外壳	装配站 x 31.775	0	-476.6MW	铝锭 [-4766.28/min]; 铜锭 [-2383.14/min]	铝制外壳 [3574.71/min]
替代：硅基电路板	装配站 x 489.406	0	-7341.1MW	铜板 [-13458.659/min]; 二氧化硅 [-13458.659/min]	电路板 [6117.572/min]
替代：传统电池	制造站 x 73.73	0	-4055.1MW	塑料 [-4423.784/min]; 电线 [-6635.675/min]; 复合铝板 [-3870.811/min]; 硫磺 [-3317.838/min]	电池 [2211.892/min]
替代：镀层铁桶	装配站 x 57.993	0	-869.9MW	铜板 [-869.891/min]; 铁板 [-1739.781/min]	空桶 [3479.562/min]
替代：钦金计算机	制造站 x 295.739	0	-16265.7MW	急速电线 [-15526.32/min]; 橡胶 [-6654.137/min]; 电路板 [-4436.091/min]	计算机 [1109.023/min]
替代：晶体计算机	装配站 x 84.479	0	-1267.2MW	电路板 [-422.397/min]; 晶体振荡器 [-140.799/min]	计算机 [281.598/min]
替代：冷却装置	混料站 x 35.757	0	-2681.7MW	散热器 [-357.566/min]; 马达 [-89.392/min]; 氮气 [-2145.397/min]	冷却系统 [178.783/min]
替代：铜制转子	装配站 x 121.169	0	-1817.5MW	铜板 [-2726.312/min]; 螺丝 [-23628.037/min]	转子 [1363.156/min]
替代：绝缘晶体振荡器	制造站 x 275.935	0	-15176.4MW	AI限制器 [-517.378/min]; 橡胶 [-3621.646/min]; 石英晶体 [-5173.78/min]	晶体振荡器 [517.378/min]
替代：暗物质捕获器	粒子加速站 x 71.109	0	-71108.9MW	暗物质残渣 [-10666.339/min]; 时间水晶 [-2133.268/min]	暗物质晶体 [4266.536/min]
替代：涡轮钻石	粒子加速站 x 86.989	0	-43494.5MW	煤 [-52193.433/min]; 桶装涡轮燃油 [-3479.562/min]	钻石 [5219.343/min]
替代：稀释燃油	混料站 x 196.069	0	-14705.2MW	水 [-19606.934/min]; 重油残渣 [-9803.467/min]	燃料 [19606.934/min]
替代：电磁马达	装配站 x 36.302	0	-544.5MW	转子 [-272.266/min]; 电磁控制杆 [-136.133/min]	马达 [272.266/min]
替代：电解制铝	精炼站 x 130.914	0	-3927.4MW	石油焦 [-7854.826/min]; 氧化铝溶液 [-23564.479/min]	水 [13745.946/min]; 碎铝渣 [39274.131/min]
替代：钢管混凝土梁	装配站 x 287.457	0	-4311.8MW	钢管 [-6898.958/min]; 混凝土 [-5749.132/min]	钢筋混凝土梁 [1149.826/min]
替代：灵活型框架	制造站 x 31.76	0	-1746.8MW	橡胶 [-952.808/min]; 模块化框架 [-119.101/min]; 钢梁 [-714.606/min]	多功能框架 [238.202/min]
替代：热熔框架	混料站 x 31.044	0	-2328.3MW	燃料 [-931.311/min]; 铝锭 [-4656.554/min]; 硝酸 [-745.049/min]; 重型模块化框架 [-93.131/min]	焊接模块化框架 [93.131/min]
替代：重油残渣	精炼站 x 420	0	-12600MW	原油 [-12600/min]	重油残渣 [16800/min]; 聚合树脂 [8400/min]
替代：致密钢锭	铸造站 x 251.042	0	-4016.7MW	压缩煤 [-627.604/min]; 铁矿石 [-1255.208/min]	钢锭 [2510.415/min]
替代：重型封闭式框架	制造站 x 122.648	0	-6745.6MW	钢管 [-4139.375/min]; 模块化框架 [-919.861/min]; 混凝土 [-2529.618/min]; 钢筋混凝土梁 [-1149.826/min]	重型模块化框架 [344.948/min]
替代：钢制框架	装配站 x 346.321	0	-5194.8MW	强化铁板 [-692.641/min]; 钢管 [-3463.207/min]	模块化框架 [1038.962/min]
替代：铀燃料单元	制造站 x 84	0	-4620MW	晶体振荡器 [-50.4/min]; 转子 [-168/min]; 电磁控制杆 [-168/min]; 封装铀棒 [-1680/min]	铀燃料棒 [50.4/min]
替代：再生塑料	精炼站 x 201.233	0	-6037MW	燃料 [-6036.982/min]; 橡胶 [-6036.982/min]	塑料 [12073.965/min]
替代：高纯度钦金锭	精炼站 x 332.188	0	-9965.6MW	水 [-7972.52/min]; 钦金矿石 [-7972.52/min]	钦金锭 [3986.26/min]
替代：高纯度铜锭	精炼站 x 2288.492	0	-68654.8MW	水 [-22884.918/min]; 铜矿石 [-34327.378/min]	铜锭 [85818.444/min]
替代：高纯度铁锭	精炼站 x 2524.351	0	-75730.5MW	水 [-50487.018/min]; 铁矿石 [-88352.281/min]	铁锭 [164082.808/min]
替代：纯石英晶体	精炼站 x 98.548	0	-2956.4MW	水 [-3695.557/min]; 粗石英 [-6652.003/min]	石英晶体 [5173.78/min]
替代：熔合急速电线	装配站 x 531.501	0	-7972.5MW	铜锭 [-19931.299/min]; 钦金锭 [-3986.26/min]	急速电线 [47835.119/min]
替代：再生橡胶	精炼站 x 255.006	0	-7650.2MW	燃料 [-7650.181/min]; 塑料 [-7650.181/min]	橡胶 [15300.363/min]
